"ID","Description","IATA_CODE","FIVE_CODE"
220,"Ankara, Turkey: Akinci","TK1",15227
221,"Ankara, Turkey: Esenboga","ESB",11586
222,"Ankara, Turkey: Etimesgut","ANK",10305
223,"Ankeny, IA: Ankeny Regional","IKV",12317
224,"Ann Arbor, MI: Ann Arbor Municipal","ARB",10348
225,"Annaba, Algeria: Rabah Bitat","AAE",10121
226,"Annapolis, MD: Lee","ANP",10309
227,"Annecy, France: Annecy Meythet","NCY",13636
228,"Annette, AK: Annette Island","ANN",10307
229,"Annex Creek, AK: Annex Creek Airport","FQE",11738
230,"Anniston, AL: Anniston Regional","ANB",10298
231,"Anta, Peru: Anta Huaraz","ATA",10390
232,"Antalaha, Madagascar: Antsirabato","ANM",10306
233,"Antalya, Turkey: Antalya Airport","AYT",10461
234,"Antananarivo, Madagascar: Ivato","TNR",15285
235,"Anthony Lagoon, Australia: Anthony Lagoon Airport","AYL",10456
236,"Antlers, OK: Antlers Municipal","ATE",10393
237,"Antofagasta, Chile: Andres Sabella International","ANF",10302
238,"Antsiranana, Madagascar: Arrachart","DIE",11312
239,"Antwerp, Belgium: Deurne","ANR",10310
240,"Anvik, AK: Anvik Airport","ANV",10313
241,"Aomori, Japan: Aomori Airport","AOJ",10319
242,"Apalachicola, FL: Apalachicola Regional Cleve Randolph Field","AAF",10122
243,"Apartado, Colombia: Apartado Airport","APO",10334
244,"Apataki, French Polynesia: Apataki Airport","APK",10331
245,"Apatzingan, Mexico: Pablo L. Sidar","AZG",10468
246,"Apia, Samoa: Fagali I","FGI",11671
247,"Apia, Samoa: Faleolo International","APW",10338
248,"Apolo, Bolivia: Apolo Airport","APB",10326
249,"Apple Valley, CA: Apple Valley Airport","APV",10337
250,"Appleton, WI: Appleton International","ATW",10408
251,"April River, Papua New Guinea: April River Airport","APR",10335
252,"Aqaba, Jordan: King Hussein International","AQJ",10340
253,"Aracaju, Brazil: Santa Maria","AJU",10235
254,"Aracatuba, Brazil: Aracatuba Airport","ARU",10362
255,"Arad, Romania: Arad Airport","ARW",10364
256,"Aragarcas, Brazil: Aragarcas Airport","ARS",10360
257,"Aragip, Papua New Guinea: Aragip Airport","ARP",10358
258,"Araguaina, Brazil: Araguaina Airport","AUX",10425
259,"Aramac, Australia: Aramac Airport","AXC",10446
260,"Arar, Saudi Arabia: Arar Airport","RAE",14449
261,"Ararat, Australia: Ararat Airport","ARY",10366
262,"Arauca, Colombia: Santiago Perez","AUC",10412
263,"Arauquita, Colombia: Arauquita Airport","ARQ",10359
264,"Araxa, Brazil: Araxa Airport","AAX",10132
265,"Arba Minch, Ethiopia: Arba Minch Airport","AMH",10283
266,"Arcata/Eureka, CA: Arcata","ACV",10157
267,"Arctic Village, AK: Arctic Village Airport","ARC",10349
268,"Ardmore, OK: Ardmore Downtown Executive","AHD",10215
269,"Ardmore, OK: Ardmore Municipal","ADM",10167
270,"Arecibo, PR: Antonio/Nery/Juarbe Pol","ARE",10351
271,"Arequipa, Peru: Rodriguez Ballon International","AQP",10342
272,"Arica, Chile: Chacalluta","ARI",10354
273,"Arkhangelsk, Russia: Arkhangelsk Airport","ARH",10353
274,"Arley Lake, AK: Arley Lake Airport","A16",10029
275,"Arlington, TX: Arlington Municipal","JZT",12598
276,"Arlington, WA: Arlington Municipal","VWO",15660
277,"Arlit, Niger: Arlit Airport","RLT",14550
278,"Armenia, Colombia: El Eden","AXM",10448
279,"Armidale, Australia: Armidale Airport","ARM",10356
280,"Arrabury, Australia: Arrabury Station","AAB",10119
281,"Arraias, Brazil: Arraias Airport","AAI",10124
282,"Arrecife, Spain: Lanzarote","ACE",10151
283,"Artesia, NM: Artesia Municipal","ATS",10404
284,"Arthur's Town, The Bahamas: Arthur's Town Airport","ATC",10392
285,"Artigas, Uruguay: Artigas International","ATI",10395
286,"Aruba, Aruba: Reina Beatrix International","AUA",10411
287,"Arusha, Tanzania: Arusha Airport","ARK",10355
288,"Arviat, Canada: Arviat Airport","YEK",16043
289,"Arvidsjaur, Sweden: Arvidsjaur Airport","AJR",10234
290,"Asahikawa, Japan: Asahikawa Airport","AKJ",10242
291,"Asau, Samoa: Asau W Sam","AAU",10131
292,"Asbestos Hill, Canada: Asbestos","YAF",15988
293,"Asbury Park, NJ: Asbury Park/Monmouth County","ARX",10365
294,"Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af","ASI",10375
